sample,G1,G2
POSITIVE,Reach a wide audience immediately using channels.,Accessible and integrated communication system
POSITIVE,Provide professional and relevant content experience,Get feedback from interviewees about company hiring processes
POSITIVE,Facilitate user decision-making based on weather,Plan a trip.
POSITIVE,Plan daily attire based on weather information.,Provide personalized weather forecasts based on user's location
POSITIVE,Facilitate User Engagement with Tailored Content,Scroll through topics of interest
POSITIVE,Enhance music and podcast discovery and enjoyment,Discover new songs similar to ones heard online.
POSITIVE,Read content online,Export content easily to a drive or application
POSITIVE,Receive routine weather notifications at specific times of the day.,Receive frequent notifications about rain in real time.
POSITIVE,Manage music playback settings,Use a sleep timer for music.
POSITIVE,Support personalized audio session,Search for songs based on emotions or keywords
POSITIVE,Optimize user interface for effective job search,Automatically transfer application details to the company's website.
POSITIVE,Facilitate content discovery and engagement.,Search using vague criteria to find meaningful results
POSITIVE,Connect with someone new,Add a personal message to connection requests
POSITIVE,Improve overall problem-solving skills,Practice coding skills to improve daily work performance
POSITIVE,Ensure optimal travel experience,Maximize time in the air during travel
POSITIVE,Increase the number of connections on a professional networking platform,Improve connection request success rate
POSITIVE,Enhance user retention through personalized content and seamless navigation,Navigate with a smooth user experience
POSITIVE,Increase the number of connections on a professional networking platform,Enhance search functionality to identify suitable professional contacts
POSITIVE,Ensure safety by preparing for adverse weather conditions.,Review weather alerts and warnings from local authorities or government organizations.
POSITIVE,Enhance user engagement with platform features,Watch personalized content recommendations
POSITIVE,Export content easily to a drive or application,Use Adobe Reader for reading PDFs.
POSITIVE,View and Interact with Personalized Content,Browse subreddits without a specific outcome
POSITIVE,Ensure seamless user experience with weather application.,Receive consistent information across all platforms.
POSITIVE,Utilize job search functionalities,Use profile for job applications
POSITIVE,Organize reading materials effectively,Store books in online accounts
POSITIVE,Find good itineraries and pricing through research,Accommodate comparison of alternative routes and services
POSITIVE,Enhance user experience through intuitive design,Navigate with a smooth user experience
POSITIVE,Engage with industry trends,See posts from network
POSITIVE,Manage applications and notifications effectively.,"Consider employee reviews, current work tasks, and tech stack in job postings."
POSITIVE,Deliver timely and relevant weather information,Receive frequent notifications about rain in real time.
POSITIVE,Increase the number of connections on a professional networking platform,Leverage connections for professional opportunities
POSITIVE,Enhance user engagement with content,Comment on a post
POSITIVE,Enhance user’s music experience,Create and use personal playlists
POSITIVE,Prepare better for job interviews by practicing.,Practice using similar questions linked by category
POSITIVE,Deliver timely and relevant weather information,Receive weather updates three times a day
POSITIVE,Provide comprehensive weather forecasting,Share unusual weather updates on social media.
POSITIVE,Improve job search experience,View number of people entering the hiring process
POSITIVE,Facilitate decision-making for daily life based on weather.,Use weather information to determine if it's suitable for outdoor activities.
POSITIVE,Receive job postings instantly when they are posted,Have emails that are concise with necessary details and a direct apply button.
POSITIVE,Provide timely and accurate weather information,Receive frequent notifications about rain in real time.
POSITIVE,Engage with industry trends,Like a post
POSITIVE,Facilitate casual browsing for user enjoyment,Scroll through topics of interest
POSITIVE,Enable personalized job search experiences,Define and match necessary skill set to job postings
POSITIVE,Provide comprehensive weather data to support user decision-making.,Explore detailed radar maps for weather information.
SYMMETRIC,Find authentic answers to queries,Search for answers within communities.
SYMMETRIC,Find authentic answers to queries,Learn more about a particular topic
SYMMETRIC,Interact with posts related to interests,Scroll through topics of interest
SYMMETRIC,Prevent streamers from sharing certain types of content,Prevent some viewers from seeing unsuitable content.
SYMMETRIC,Solve a specific problem through search,Seek technical help or input on a problem
SYMMETRIC,Scroll through general information,Browse daily information
SYMMETRIC,Automatically transfer application details to the company's website.,Include a quick apply button on job postings.
SYMMETRIC,Receive important international event updates.,Not miss out on important information
SYMMETRIC,Access saved job listings,Access saved jobs
SYMMETRIC,Use a music streaming feature made for discovering new songs,Discover new songs similar to ones heard online.
SYMMETRIC,Review application details,Submit job applications
SYMMETRIC,Make video or audio calls more easily,Make the call feature more accessible
SYMMETRIC,Engage with home-page feeds for interesting insights.,Scroll through a personalized newsfeed
SYMMETRIC,Upload a video or start a stream.,Publish a video after uploading it
SYMMETRIC,Access content without interruptions,Receive content on a machine seamlessly
SYMMETRIC,Participate in weekly contests for practice,Participate in coding contests to improve reading and transformation skills.
SYMMETRIC,Export content easily to a drive or application,Read content online
SYMMETRIC,Avoid being contacted by random people from other platforms.,Keep application details private and avoid exposure to unintended parties.
SYMMETRIC,Browse daily information,Scroll through general information
SYMMETRIC,Get more targeted results for a problem,Seek technical help or input on a problem
SYMMETRIC,Receive content on a machine seamlessly,Access content without interruptions
SYMMETRIC,Search for answers within communities.,Find authentic answers to queries
SYMMETRIC,Filter out entertainment content from professional content,Exclude entertainment content when searching for job or housing information
SYMMETRIC,Adjust travel plans based on weather conditions.,Consider transportation options based on temperature.
SYMMETRIC,Communicate with friends and family,Backup and restore messages when changing phones
NEGATIVE,Provide comprehensive weather forecasting,Avoid cycling when it's very cold.
NEGATIVE,Support Open Exploration and Specific Problem Solving,Research new workouts by gathering personal insights
NEGATIVE,Keep updated on departmental and campus discussions,Facilitate instantaneous and seamless communication
NEGATIVE,Access saved job listings,Apply filters to job searches
NEGATIVE,Filter jobs by job titles or locations,Manage job application process
NEGATIVE,Search for information based on a specific region,Provide professional and relevant content experience
NEGATIVE,Navigate quickly to continue watching from where I left off,Support diverse media formats
NEGATIVE,Facilitate user-generated content engagement,Search for personal experiences over facts
NEGATIVE,Save time by being familiar with the application’s user interface,Ensure the flight booking is convenient
NEGATIVE,Ensure secure and private communication,Efficiently manage and organize communications
NEGATIVE,Ensure content suitability via automated and manual review processes.,Upload a video or start a stream.
NEGATIVE,Research further on something interesting,Search for answers within communities.
NEGATIVE,Seek technical help or input on a problem,Enable effective information search and discovery
NEGATIVE,Receive job notifications,Enhance network engagement
NEGATIVE,Manage user preferences,Search for information based on a specific region
NEGATIVE,Find authentic answers to queries,Solve a specific problem through search
NEGATIVE,Centralize Communication and Information Sharing System,Share documents instantly with teammates
NEGATIVE,Receive job notifications,Increase network engagement
NEGATIVE,Connect with known individuals,Comment on a post
NEGATIVE,Receive frequent notifications about rain in real time.,Plan trips using weather forecasts.
NEGATIVE,Maintain user privacy through application settings,Set alerts for price changes on certain routes.
NEGATIVE,Provide a secured browsing experience,Receive recommendations based on browsing history.
NEGATIVE,Improve problem-solving skills,Finish all questions in a specific category.
NEGATIVE,Track the application status or employer responsiveness.,Have emails that are concise with necessary details and a direct apply button.
NEGATIVE,Enable seamless data communication and continuity,Send a message to a colleague
NEGATIVE,Access content without interruptions,Optimize streaming performance and reduce latency.
NEGATIVE,Ensure high-quality user experience in content playback,Search for video content visually
NEGATIVE,Read something interesting,Read personal reviews before making purchasing decisions.
NEGATIVE,Save time by being familiar with the application’s user interface,Check direct airline websites for better pricing
NEGATIVE,Enhance collaborative problem-solving skills,Practice coding skills to improve daily work performance
NEGATIVE,Reduce the presence of marketing accounts in content feeds,Address and handle matrix accounts to reduce irrelevant content
NEGATIVE,"Edit videos by adding sound effects, trimming, or cropping",Maintain seamless user experience across devices.
NEGATIVE,Maintain user privacy while accessing weather information.,Look for temperature and chance of rain when first opening the weather information.
NEGATIVE,Search for specific information or messages,Enable seamless and secure data transfer
NEGATIVE,Connect with someone new,Enhance user engagement with content
NEGATIVE,Share unusual weather updates on social media.,Facilitate Daily Planning with Weather Information
NEGATIVE,Prefer job postings matching criteria using AI features for identification.,Save or organize interesting job postings for later
NEGATIVE,Ensure user data privacy and security,Get job updates that match personal skill set.
NEGATIVE,Save or organize interesting job postings for later,Ensure Efficient Application Process
NEGATIVE,Accept data being shared with other parties,Receive recommendations based on browsing history.
NEGATIVE,Discover new songs similar to ones heard online.,Provide continuous background audio experience
NEGATIVE,Connect with someone new,Browse job postings
NEGATIVE,Plan daily attire based on weather information.,Receive consistent information across all platforms.
NEGATIVE,Receive job notifications unless they complicate the notification tab,Blacklist irrelevant job postings
NEGATIVE,Manage applications and notifications effectively.,Receive job notifications unless they complicate the notification tab
NEGATIVE,Browse job postings,Join relevant groups
NEGATIVE,Browse subreddits without a specific outcome,Support Open Exploration and Specific Problem Solving
NEGATIVE,Maintain user privacy and data integrity,Accept data being shared with other parties
NEGATIVE,Book flights early for better prices,Leverage technological tools for pricing advantage
NEGATIVE,Participate in weekly contests for practice,Explore new algorithms
NEGATIVE,Use a quick email feature to communicate formally,Communicate with peers and professors instantly
NEGATIVE,Maintain user engagement through relevant and timely content,Filter out entertainment content from professional content
NEGATIVE,Apply filters to job searches,Indicate open to work status
NEGATIVE,Obtain referrals from current employees for positions at a company,Enhance the effectiveness of connecting with relevant professionals
NEGATIVE,Search for a specific post,Get more targeted results for a problem
NEGATIVE,Ensure user privacy and security for job applications function,Keep application details private and avoid exposure to unintended parties.
NEGATIVE,Plan a trip.,Use weather information for decision-making
NEGATIVE,Add a personal message to connection requests,Upload a resume
NEGATIVE,Store books in online accounts,Read downloaded PDFs on a tablet
NEGATIVE,Support various listening scenarios and contexts,Use a music streaming feature made for discovering new songs
NEGATIVE,Manage alert frequency,Facilitate Connection Building
NEGATIVE,Adjust travel plans based on weather conditions.,Support user customization and privacy in interaction with weather data.
NEGATIVE,Optimize video streaming performance for enhanced user experience.,Click images with descriptions to view content
NEGATIVE,Improve strategic approach to coding challenges,Discuss difficult problems with friends to understand the solution better.
NEGATIVE,Allow customizable music discovery,Think of what type of music is needed
NEGATIVE,Avoid receiving outdated job listings.,Enhance job update personalization using technology.
NEGATIVE,Maximize time in the air during travel,Enhance flexibility by adapting to changing flight availability
NEGATIVE,Avoid being contacted by random people from other platforms.,Ensure Efficient Application Process
NEGATIVE,Scroll through general information,Improve management to prevent data from being sold to other parties
NEGATIVE,Centralize communication features into a single application.,Communicate with peers and professors instantly
NEGATIVE,Check weather forecasts for the entire week for trip planning,Enhance user experience through seamless information delivery.
NEGATIVE,Browse daily information,Maintain user engagement through relevant and timely content
NEGATIVE,Receive frequent notifications about rain in real time.,Provide timely and accurate weather information
NEGATIVE,Prevent some viewers from seeing unsuitable content.,Enhance user engagement through content recommendations.
NEGATIVE,Read downloaded PDFs on a tablet,Have a place to consolidate all reading materials
NEGATIVE,Search for content using filters,Receive content on a machine seamlessly
NEGATIVE,Seek technical help or input on a problem,View and Interact with Personalized Content
NEGATIVE,Explore new algorithms,Practice coding questions during the interview season.
NEGATIVE,Use weather information to determine if it's suitable for outdoor activities.,Facilitate Daily Planning with Weather Information
NEGATIVE,Ensure users can easily discover and access content,Enhance user engagement with personalized features
NEGATIVE,Connect with known individuals,Enhance user engagement with content
NEGATIVE,Access relevant information through community engagement,Interact with posts related to interests
NEGATIVE,Search using vague criteria to find meaningful results,Facilitate user-friendly content discovery through advanced search features
NEGATIVE,Connect with people for job referrals when necessary.,Enhance application efficiency and tracking
NEGATIVE,Make informed clothing decisions based on weather forecasts.,Ensure safety by preparing for adverse weather conditions.
NEGATIVE,Submit job applications,Check news feed
NEGATIVE,Engage with industry trends,Manage job application process
NEGATIVE,Provide a guided discovery of music and audio content,Think of what type of music is needed
NEGATIVE,Efficient Information Retrieval,Scan QR codes for payment transactions
NEGATIVE,Continuously monitor flight deal platforms,Book flights for family and friends
NEGATIVE,Provide enhanced search and discovery features for user engagement.,Access content without interruptions by subscribing to a premium tier
NEGATIVE,Blacklist irrelevant job postings,Track the application status or employer responsiveness.
NEGATIVE,Gain information quickly without reading a book,Enhance user engagement through content recommendations.
NEGATIVE,Join relevant groups,Enhance job search effectiveness
NEGATIVE,Ensure data integrity and user privacy,Transfer large files without file size limitations
NEGATIVE,Research new workouts by gathering personal insights,Improve overall user experience through personalization
NEGATIVE,Navigate information about the tech stack more easily.,Provide a secure platform for job seeking and application
NEGATIVE,Finish all questions in a specific category.,Discuss difficult problems with friends to understand the solution better.
NEGATIVE,Explore job opportunities,Apply filters to job searches
NEGATIVE,Participate in coding contests to improve reading and transformation skills.,Enhance collaborative problem-solving skills
NEGATIVE,Reach a wide audience immediately using channels.,Make the call feature more accessible
NEGATIVE,Receive important international event updates.,Receive recommendations based on browsing history.
NEGATIVE,Facilitate user-generated content engagement,Read personal reviews before making purchasing decisions.
NEGATIVE,Expand content diversity to attract wide user demographics,Watch personalized content recommendations
NEGATIVE,Prefer to manage privacy by limiting location data in browser cache,Maintain flexibility in planning based on weather conditions
NEGATIVE,Enhance user engagement and retention,Stream data smoothly without interruptions
NEGATIVE,Manage professional identity,Access saved jobs
NEGATIVE,Discuss difficult problems with friends to understand the solution better.,Adopt a strategic practice approach.
NEGATIVE,Improve user engagement with personalized features,Search for people using a company name and school name
NEGATIVE,Submit job applications,Enhance job search effectiveness
NEGATIVE,Read news online,Integrate with educational and standard reading formats
NEGATIVE,Backup and restore messages when changing phones,Organize and prioritize conversations
NEGATIVE,Ensure user data privacy and security,Prefer job postings matching criteria using AI features for identification.
NEGATIVE,Understand video player options easily,Enable full screen mode for video playback
NEGATIVE,Access saved jobs,Set job preferences
NEGATIVE,Centralize Communication and Information Sharing System,Make video or audio calls more easily
NEGATIVE,Adjust travel plans based on weather conditions.,Consider cloud coverage when planning specific activities
NEGATIVE,Receive job notifications unless they complicate the notification tab,Ensure user privacy and security for job applications function
NEGATIVE,Maintain seamless user experience across devices.,Enable full screen mode for video playback
NEGATIVE,See posts from network,Set job preferences
NEGATIVE,Think of what type of music is needed,Support personalized audio session
NEGATIVE,Find authentic answers to queries,Enhance user engagement through interactive content
NEGATIVE,Facilitate user-friendly content discovery through advanced search features,Enable full screen mode for video playback
NEGATIVE,Define and match necessary skill set to job postings,Enhance application efficiency and tracking
