G1,G2,model,human
Explore new algorithms,Finish all questions in a specific category.,REFINED_BY,NONE
Provide an Integrated Reading Experience,Read content online,REFINED_BY,REFINED BY
Enhance job search experience,Access saved jobs,REFINED_BY,REFINED BY
Enhance social interaction through music,Create playlists for public viewing,REFINED_BY,REFINED BY
Practice coding skills to improve daily work performance,Practice easy to medium questions at the start.,REFINED_BY,NONE
Provide user-friendly interface for content search and selection.,Search using vague criteria to find meaningful results,REFINED_BY,REFINED BY
Optimize user interface for effective job search,Receive job notifications unless they complicate the notification tab,REFINED_BY,REFINED BY
Enhance user decision-making with detailed weather data.,Adjust travel plans based on weather conditions.,REFINED_BY,REFINED BY
Automatically transfer application details to the company's website.,Include a quick apply button on job postings.,SYMMETRIC,REFINED BY,REFINED BY,REFINED BY
Book flights early for better prices,Set alerts for price changes on certain routes.,REFINED_BY,NONE
Support various listening scenarios and contexts,Listen to podcasts occasionally,REFINED_BY,REFINED BY
View hourly weather details for planning daily activities.,Look for temperature and chance of rain when first opening the weather information.,REFINED_BY,NONE
Consistent and Comprehensive Weather Planning,Plan trips using weather forecasts,REFINED_BY,REFINED BY
Adjust travel plans based on weather conditions.,Consider transportation options based on temperature.,SYMMETRIC,REFINED BY,REFINED BY,REFINED BY
Optimize user decision-making based on weather information.,Consider transportation options based on temperature.,REFINED_BY,REFINED_BY
Facilitate User Engagement with Tailored Content,Scroll through a personalized newsfeed,REFINED_BY,REFINED BY
Facilitate multimedia and data sharing,Transfer large files without file size limitations,REFINED_BY,REFINED BY
Expand professional network,Connect with known individuals,REFINED_BY,REFINED BY
Facilitate multimedia and data sharing,Find images by searching with text,REFINED_BY,NONE
Enhance user experience and satisfaction,Explore ways to make interface elements easier to navigate.,REFINED_BY,REFINED BY
Read content online,Categorize reading material by time,REFINED_BY,NONE
Utilize weather forecasts to enhance activity planning.,Plan outdoor activities.,REFINED_BY,REFINES
Facilitate social sharing and personalization,Create and use personal playlists,REFINED_BY,REFINED BY
Support Open Exploration and Specific Problem Solving,Solve a specific problem through search,REFINED_BY,NONE
Enable seamless data communication and continuity,Transfer files to friends,REFINED_BY,REFINED BY
"Provide a premium, uninterrupted viewing experience",Access content without interruptions by subscribing to a premium tier,REFINED_BY,REFINED BY
Make the call feature more accessible,Make video or audio calls more easily,REFINED_BY,REFINES
Integrate and Synchronize Communication Tools,Reach a wide audience immediately using channels.,REFINED_BY,NONE
Engage with the professional content,See posts from network,REFINED_BY,REFINED BY
Find good itineraries and pricing through research,Try to find the best price for a flight itinerary,REFINED_BY,REFINED BY
Engage with network,Join relevant groups,REFINED_BY,REFINED BY
Ensure users can easily discover and access content,Search for specific movie titles or shows,REFINED_BY,NONE
Enhance job update personalization using technology.,Customize job search with keywords and roles,REFINED_BY,NONE
Support diverse formats and sources for reading,Read downloaded PDFs on a tablet,REFINED_BY,REFINED BY
Provide an Integrated Reading Experience,Read downloaded PDFs on a tablet,REFINED_BY,REFINED BY
Enhance user decision-making with detailed weather data.,View hourly weather details for planning daily activities.,REFINED_BY,REFINED BY
Provide timely and accurate weather information,Receive weather updates three times a day,REFINED_BY,REFINED BY
Edit personal profile,Set job preferences,REFINED_BY,REFINED BY
Search for personal experiences over facts,Research new workouts by gathering personal insights,REFINED_BY,REFINED BY
Retain users by reducing the need to switch platforms,Facilitate efficient content discovery and access,REFINED_BY,NONE
Seek technical help or input on a problem,Search for a specific post,REFINED_BY,REFINED BY
Enhance personalization of job search experience,Prefer job postings matching criteria using AI features for identification.,REFINED_BY,REFINED BY
Store books in online accounts,See percentage of chapter read,REFINED_BY,NONE
Browse daily information,Reduce the presence of marketing accounts in content feeds,REFINED_BY,NONE
Facilitate organization of diverse content types,Read news online,REFINED_BY,NONE
Enhance user experience by minimizing interruptions and ensuring consistency in information delivery.,Receive routine weather notifications at specific times of the day.,REFINED_BY,NONE
Facilitate efficient content discovery and access,Navigate quickly to continue watching from where I left off,REFINED_BY,REFINED BY
Manage applications and notifications effectively.,Have emails that are concise with necessary details and a direct apply button.,REFINED_BY,NONE
Utilize learning resources effectively.,Look at solutions if unable to solve a problem after significant effort,REFINED_BY,NONE
Seek technical help or input on a problem,Access relevant information through community engagement,REFINED_BY,REFINES
Explore detailed radar maps for weather information.,Share unusual weather updates on social media.,REFINED_BY,REFINES
Include a quick apply button on job postings.,Have emails that are concise with necessary details and a direct apply button.,REFINED_BY,REFINED BY
Support user customization and privacy in interaction with weather data.,Switch the temperature unit display from Fahrenheit to Celsius.,REFINED_BY,REFINED BY
Provide an Integrated Reading Experience,Save educational resources for future reference.,REFINED_BY,NONE
Link practice directly to career advancement.,Practice coding questions during the interview season.,REFINED_BY,NONE
Reach a wide audience immediately using channels.,Accessible and integrated communication system,REFINED_BY,NONE
Provide professional and relevant content experience,Get feedback from interviewees about company hiring processes,REFINED_BY,REFINES
Facilitate user decision-making based on weather,Plan a trip.,REFINED_BY,REFINES
Plan daily attire based on weather information.,Provide personalized weather forecasts based on user's location,REFINED_BY,REFINED BY
Facilitate User Engagement with Tailored Content,Scroll through topics of interest,REFINED_BY,NONE
Enhance music and podcast discovery and enjoyment,Discover new songs similar to ones heard online.,REFINED_BY,NONE
Read content online,Export content easily to a drive or application,REFINED_BY,NONE
Receive routine weather notifications at specific times of the day.,Receive frequent notifications about rain in real time.,REFINED_BY,REFINED BY
Manage music playback settings,Use a sleep timer for music.,REFINED_BY,REFINED BY
Support personalized audio session,Search for songs based on emotions or keywords,REFINED_BY,REFINES
Optimize user interface for effective job search,Automatically transfer application details to the company's website.,REFINED_BY,REFINES
Facilitate content discovery and engagement.,Search using vague criteria to find meaningful results,REFINED_BY,REFINED BY
Connect with someone new,Add a personal message to connection requests,REFINED_BY,REFINED BY
Improve overall problem-solving skills,Practice coding skills to improve daily work performance,REFINED_BY,REFINED BY
Ensure optimal travel experience,Maximize time in the air during travel,REFINED_BY,REFINED BY
Increase the number of connections on a professional networking platform,Improve connection request success rate,REFINED_BY,REFINED BY
Enhance user retention through personalized content and seamless navigation,Navigate with a smooth user experience,REFINED_BY,REFINED_BY
Increase the number of connections on a professional networking platform,Enhance search functionality to identify suitable professional contacts,REFINED_BY,REFINED BY
Ensure safety by preparing for adverse weather conditions.,Review weather alerts and warnings from local authorities or government organizations.,REFINED_BY,REFINED BY
Enhance user engagement with platform features,Watch personalized content recommendations,REFINED_BY,REFINED BY
Export content easily to a drive or application,Use Adobe Reader for reading PDFs.,REFINED_BY,NONE
View and Interact with Personalized Content,Browse subreddits without a specific outcome,REFINED_BY,REFINES
Ensure seamless user experience with weather application.,Receive consistent information across all platforms.,REFINED_BY,NONE
Utilize job search functionalities,Use profile for job applications,REFINED_BY,REFINES
Organize reading materials effectively,Store books in online accounts,REFINED_BY,NONE
Find good itineraries and pricing through research,Accommodate comparison of alternative routes and services,REFINED_BY,REFINED BY
Enhance user experience through intuitive design,Navigate with a smooth user experience,REFINED_BY,REFINED BY
Engage with industry trends,See posts from network,REFINED_BY,REFINED BY
Manage applications and notifications effectively.,"Consider employee reviews, current work tasks, and tech stack in job postings.",REFINED_BY,NONE
Deliver timely and relevant weather information,Receive frequent notifications about rain in real time.,REFINED_BY,REFINED BY
Increase the number of connections on a professional networking platform,Leverage connections for professional opportunities,REFINED_BY,REFINES
Enhance user engagement with content,Comment on a post,REFINED_BY,NONE
Enhance user’s music experience,Create and use personal playlists,REFINED_BY,NONE
Prepare better for job interviews by practicing.,Practice using similar questions linked by category,REFINED_BY,REFINED_BY
Deliver timely and relevant weather information,Receive weather updates three times a day,REFINED_BY,REFINED BY
Provide comprehensive weather forecasting,Share unusual weather updates on social media.,REFINED_BY,NONE
Improve job search experience,View number of people entering the hiring process,REFINED_BY,REFINED BY
Facilitate decision-making for daily life based on weather.,Use weather information to determine if it's suitable for outdoor activities.,REFINED_BY,REFINED BY
Receive job postings instantly when they are posted,Have emails that are concise with necessary details and a direct apply button.,REFINED_BY,REFINED BY
Provide timely and accurate weather information,Receive frequent notifications about rain in real time.,REFINED_BY,REFINED BY
Engage with industry trends,Like a post,REFINED_BY,REFINED BY
Facilitate casual browsing for user enjoyment,Scroll through topics of interest,REFINED_BY,REFINED BY
Enable personalized job search experiences,Define and match necessary skill set to job postings,REFINED_BY,REFINED BY
Provide comprehensive weather data to support user decision-making.,Explore detailed radar maps for weather information.,REFINED_BY,REFINED BY
Find authentic answers to queries,Search for answers within communities.,SYMMETRIC,REFINED BY
Find authentic answers to queries,Learn more about a particular topic,SYMMETRIC,REFINES,NONE
Interact with posts related to interests,Scroll through topics of interest,SYMMETRIC,REFINES,REFINED BY
Prevent streamers from sharing certain types of content,Prevent some viewers from seeing unsuitable content.,SYMMETRIC,NONE,NONE
Solve a specific problem through search,Seek technical help or input on a problem,SYMMETRIC,REFINES,REFINES
Scroll through general information,Browse daily information,SYMMETRIC,NONE
Receive important international event updates.,Not miss out on important information,SYMMETRIC,REFINES,REFINES
Use a music streaming feature made for discovering new songs,Discover new songs similar to ones heard online.,SYMMETRIC,REFINES,REFINES
Review application details,Submit job applications,SYMMETRIC,REFINES,REFINES
Make video or audio calls more easily,Make the call feature more accessible,SYMMETRIC,REFINED BY,EQUIV
Engage with home-page feeds for interesting insights.,Scroll through a personalized newsfeed,SYMMETRIC,NONE,REFINES
Upload a video or start a stream.,Publish a video after uploading it,SYMMETRIC,REFINES,REFINES
Participate in weekly contests for practice,Participate in coding contests to improve reading and transformation skills.,SYMMETRIC,EQUIV,REFINES
Export content easily to a drive or application,Read content online,SYMMETRIC,NONE,NONE
Avoid being contacted by random people from other platforms.,Keep application details private and avoid exposure to unintended parties.,SYMMETRIC,REFINED BY,REFINED BY
Browse daily information,Scroll through general information,SYMMETRIC,REFINES
Get more targeted results for a problem,Seek technical help or input on a problem,SYMMETRIC,NONE,NONE
Receive content on a machine seamlessly,Access content without interruptions,SYMMETRIC,REFINES
Search for answers within communities.,Find authentic answers to queries,SYMMETRIC,REFINES
Filter out entertainment content from professional content,Exclude entertainment content when searching for job or housing information,SYMMETRIC,REFINES
Communicate with friends and family,Backup and restore messages when changing phones,SYMMETRIC,NONE,REFINED BY
Provide comprehensive weather forecasting,Avoid cycling when it's very cold.,NONE,REFINES
Support Open Exploration and Specific Problem Solving,Research new workouts by gathering personal insights,NONE,NONE
Keep updated on departmental and campus discussions,Facilitate instantaneous and seamless communication,NONE,REFINES
Access saved job listings,Apply filters to job searches,NONE,REFINES
Filter jobs by job titles or locations,Manage job application process,NONE,NONE
Search for information based on a specific region,Provide professional and relevant content experience,NONE,NONE
Navigate quickly to continue watching from where I left off,Support diverse media formats,NONE,NONE
Facilitate user-generated content engagement,Search for personal experiences over facts,NONE,NONE
Save time by being familiar with the application’s user interface,Ensure the flight booking is convenient,NONE,NONE
Ensure secure and private communication,Efficiently manage and organize communications,NONE,NONE
Ensure content suitability via automated and manual review processes.,Upload a video or start a stream.,NONE,NONE
Research further on something interesting,Search for answers within communities.,NONE,REFINED BY
Seek technical help or input on a problem,Enable effective information search and discovery,NONE,NONE
Receive job notifications,Enhance network engagement,NONE,NONE
Manage user preferences,Search for information based on a specific region,NONE,REFINED BY
Find authentic answers to queries,Solve a specific problem through search,NONE,REFINES
Centralize Communication and Information Sharing System,Share documents instantly with teammates,NONE,REFINED BY
Receive job notifications,Increase network engagement,NONE,NONE
Connect with known individuals,Comment on a post,NONE,NONE
Receive frequent notifications about rain in real time.,Plan trips using weather forecasts.,NONE,REFINES
Maintain user privacy through application settings,Set alerts for price changes on certain routes.,NONE,NONE
Provide a secured browsing experience,Receive recommendations based on browsing history.,NONE,NONE
Improve problem-solving skills,Finish all questions in a specific category.,NONE,REFINED BY
Track the application status or employer responsiveness.,Have emails that are concise with necessary details and a direct apply button.,NONE,NONE
Enable seamless data communication and continuity,Send a message to a colleague,NONE,REFINES
Access content without interruptions,Optimize streaming performance and reduce latency.,NONE,REFINED BY
Ensure high-quality user experience in content playback,Search for video content visually,NONE,REFINED BY
Read something interesting,Read personal reviews before making purchasing decisions.,NONE,REFINED BY
Save time by being familiar with the application’s user interface,Check direct airline websites for better pricing,NONE,NONE
Enhance collaborative problem-solving skills,Practice coding skills to improve daily work performance,NONE,NONE
Reduce the presence of marketing accounts in content feeds,Address and handle matrix accounts to reduce irrelevant content,NONE,REFINED BY
"Edit videos by adding sound effects, trimming, or cropping",Maintain seamless user experience across devices.,NONE,NONE
Maintain user privacy while accessing weather information.,Look for temperature and chance of rain when first opening the weather information.,NONE,NONE
Search for specific information or messages,Enable seamless and secure data transfer,NONE,NONE
Connect with someone new,Enhance user engagement with content,NONE,NONE
Share unusual weather updates on social media.,Facilitate Daily Planning with Weather Information,NONE,NONE
Prefer job postings matching criteria using AI features for identification.,Save or organize interesting job postings for later,NONE,NONE
Ensure user data privacy and security,Get job updates that match personal skill set.,NONE,NONE
Save or organize interesting job postings for later,Ensure Efficient Application Process,NONE,REFINES
Accept data being shared with other parties,Receive recommendations based on browsing history.,NONE,NONE
Discover new songs similar to ones heard online.,Provide continuous background audio experience,NONE,NONE
Connect with someone new,Browse job postings,NONE,NONE
Plan daily attire based on weather information.,Receive consistent information across all platforms.,NONE,NONE
Receive job notifications unless they complicate the notification tab,Blacklist irrelevant job postings,NONE,NONE
Manage applications and notifications effectively.,Receive job notifications unless they complicate the notification tab,NONE,REFINED BY
Browse job postings,Join relevant groups,NONE,NONE
Browse subreddits without a specific outcome,Support Open Exploration and Specific Problem Solving,NONE,REFINES
Maintain user privacy and data integrity,Accept data being shared with other parties,NONE,REFINED BY
Book flights early for better prices,Leverage technological tools for pricing advantage,NONE,NONE
Participate in weekly contests for practice,Explore new algorithms,NONE,REFINES
Use a quick email feature to communicate formally,Communicate with peers and professors instantly,NONE,REFINES
Maintain user engagement through relevant and timely content,Filter out entertainment content from professional content,NONE,REFINED BY
Apply filters to job searches,Indicate open to work status,NONE,NONE
Obtain referrals from current employees for positions at a company,Enhance the effectiveness of connecting with relevant professionals,NONE,NONE
Search for a specific post,Get more targeted results for a problem,NONE,NONE
Ensure user privacy and security for job applications function,Keep application details private and avoid exposure to unintended parties.,NONE,REFINES
Plan a trip.,Use weather information for decision-making,NONE,REFINED BY
Add a personal message to connection requests,Upload a resume,NONE,NONE
Store books in online accounts,Read downloaded PDFs on a tablet,NONE,NONE
Support various listening scenarios and contexts,Use a music streaming feature made for discovering new songs,NONE,REFINED BY
Manage alert frequency,Facilitate Connection Building,NONE,NONE
Adjust travel plans based on weather conditions.,Support user customization and privacy in interaction with weather data.,NONE,NONE
Optimize video streaming performance for enhanced user experience.,Click images with descriptions to view content,NONE,NONE
Improve strategic approach to coding challenges,Discuss difficult problems with friends to understand the solution better.,NONE,NONE
Allow customizable music discovery,Think of what type of music is needed,NONE,NONE
Avoid receiving outdated job listings.,Enhance job update personalization using technology.,NONE,NONE
Maximize time in the air during travel,Enhance flexibility by adapting to changing flight availability,NONE,NONE
Avoid being contacted by random people from other platforms.,Ensure Efficient Application Process,NONE,NONE
Scroll through general information,Improve management to prevent data from being sold to other parties,NONE,NONE
Centralize communication features into a single application.,Communicate with peers and professors instantly,NONE,REFINES
Check weather forecasts for the entire week for trip planning,Enhance user experience through seamless information delivery.,NONE,NONE
