Complete a small set of easy-to-medium practice questions for a refresher,Solve problems in an interactive coding environment with testing and submission.
Book flights for travel,Book flights in advance to get better prices or deals
Support learning and onboarding through guided education,Reduce the need to repeatedly check for information
Return to the news list without losing browsing position or triggering a refresh,Consume information while away from a computer and multitasking
"Access airport lounges while traveling, including in different countries",Manage airport lounge access for the trip
Reduce the time spent researching travel options before booking,Find accurate information efficiently while reducing research time
Source and recruit candidates for open roles,Improve the quality of candidates identified during recruiting
"Support accessible, usable playback experience",Mute or unmute video audio
Enable asynchronous collaboration and workflow management for a project team,Create and manage work items on visual boards to plan development
Receive school news and notifications,Receive emails in the inbox reliably
Monetize the platform while protecting the user experience,"Optimize the frequency, placement, and amount of advertising to minimize disruption and protect the user experience."
Take solo vacations,Take vacation flights
Identify and choose a travel booking provider,Sort available flight options by user-selected criteria such as best overall or lowest price
Use an email client primarily for work,Help someone gain a deeper understanding of how users want to use a product
Enable location selection and management for forecasts.,Allow users to set and view weather for preferred locations
Plan and select an appropriate transportation option for the trip,Reduce the amount of walking required during a trip
Evaluate the current situation to inform an approach,Develop software effectively in terminal and portable environments
"Maintain platform trust, safety, and content quality",Enforce controls on all user uploads.
Restore the previous workspace or session state quickly after a shutdown,Communicate with a computer system through a command-line interface
"Discover, install, and manage extensions/plugins effectively",Select which plugins to install
View a list of chat conversations with contacts or groups,"Organize and manage conversations in the chat list, including pinning important chats to keep them at the top"
Write code every day,Access an interface to view system status and manage infrastructure
Ask healthcare professionals health-related questions,Add a title to a post
Complete provider outreach end-to-end with guidance and fallback handling,Filter results by whether utilities are included
Create a comment on a post,Create and share community content and experiences
Ask healthcare professionals health-related questions,Save a partially created post as a draft to finish later
Enable users to make informed investment decisions,Analyze how different actions impact profit and loss outcomes
Support an accessible and usable video playback experience,"Display video playback timing information, including current time and total duration"
Support audio and on-the-go news consumption,"Browse a unified feed of news from multiple sources, filterable by category"
Create a long-term personal financial plan,Rebalance investment allocations on a periodic schedule
Transfer a small amount of money,Send money to other people to split costs
Use contextual decision-making to avoid selecting ads based on a single mention of a topic,Provide a secure and trustworthy platform experience
Watch videos recommended by others,View other users' goals
Ensure privacy-preserving usage (minimize tracking and unnecessary data sharing),Protect personal privacy while using online tools
Interact with posts in a feed,Stay updated on trends
"Select an origin location from available city, country, or region options, including multiple airports or cities.",Search for flights across a range of departure and return dates.
Place stock orders by selecting a stock and providing required order parameters,Set target buy or sell prices
"Conduct outreach with clarity, privacy, and low friction",Provide insight into how the communication process works
Enable read-later organization and retrieval of saved content,Save items to a collection for later review.
Enable media playback tailored to user context,Watch videos in the background
Control whether others' changes can be incorporated into the main version,Modify code to complete coursework requirements
Reorder items from past purchases,Prevent an item from being substituted with an alternative
Determine whether travel times align with the schedule of a person being met,Reduce the time required to identify the best option
Keep updated information visible without requiring users to scroll to verify changes.,Open a weather event to view detailed information and related news
Limit the number of times a person is shown advertisements for the same product,Provide search and Q&A discovery and participation
Decide on a home within one week to one month,Efficiently search and narrow housing options
Support content creation workflows (language and multimedia creation),Create multimedia content.
Support global and inclusive access to content,Provide accessibility features for users with special needs.
Find suitable travel itineraries,Display the lowest-priced option across a grid of date combinations.
Provide multiple ways for users to consume and explore podcast content.,Deliver personalized content and recommendations to users
Publish and distribute engaging professional content,Create content for posts
Search stored messages and information using keywords to find specific content,Reach a wide audience immediately
Select connections with layover times that exceed the minimum connection time by a specified multiplier to account for delays,Limit maximum total travel time
Add a body to a post,Customize how posts are displayed in a feed
"Provide efficient, low-friction interaction for getting help","Use an advanced generative AI model for logical analysis, reasoning, and understanding tasks more frequently"
Use a conversational assistant to support learning and personal projects,Enable rich user context input to get more relevant answers
Find and select flights that meet the traveler’s constraints,Maintain flexibility in flight options
"Request that other users review, add, or like a playlist",Create a playlist for other users to view
Support social listening and playlist collaboration,Create a playlist for other users to view
Enable multi-modal interaction and contextual input,Complete language-related tasks
Track comment threads,Get answers and information efficiently from online communities
"Enable visually browsing and scrolling through lists of video content, including recommendations",Display content thumbnails with descriptive details while browsing
Receive job notification emails that are concise and include all necessary job details,Apply to a job directly from a job notification email
Browse top news headlines regularly,Read only headlines when time is limited
Enable content discovery and selection,Select a video to play
Watch a large quantity of content,Enable accountable communication and discussion
Avoid logical errors in explanations,Verify the correctness of explanations and terminology using authoritative reference materials
Write code within a terminal environment,Highlight code syntax while editing
Enter comparison parameters in a single interface to determine the best overall option,"Make search results actionable by supporting selection, verification, and booking handoff"
Search for job postings and filter results by region,Filter search results by region
Open the short-form video page,"Support user control over recommendations, history, and privacy"
Support background and multitasking-friendly media consumption,Continue video playback while browsing other content
Run targeted people search to discover relevant prospects.,Search for people associated with a specific company and educational institution by including those names in search keywords.
Provide a dedicated method for online reading in a school setting,Receive assigned articles from instructors
Complete a commerce transaction end-to-end,Log out after completing tasks
Match job roles to an individual's interests and skill set,Filter and list job postings that meet a configurable skill-match threshold.
Open a web browser to access email,Receive emails in the inbox reliably
Preview video content with short clips to decide what to watch without switching platforms,Provide personalized discovery experience
Determine the source of the weather data.,View significant weather events occurring worldwide
Enable communication between people who prefer not to talk directly to each other,Participate in topic-based communities
Provide command-line access to machines without a graphical user interface.,Communicate with a computer system through a command-line interface
Reset or obtain a new personal identification number,View account and routing numbers
Build code through a command-line interface,Work productively in a terminal-first development environment
Maintain traceability between code changes and planned work,Link a pull request to an issue or work item
Provide actionable severe-weather awareness and response support.,Receive alerts about severe or extreme weather affecting a specified city
"View itinerary details including departure and arrival times, duration, and arrival day","Show complete itinerary details, including operating carrier, segment timing, terminals, and connections, so the traveler can verify all travel information before booking."
Receive real-time weather condition updates.,"Receive frequent notifications about rain conditions, such as when rain starts, continues, or stops"
Monitor student code and project progress,View pull requests
Provide accessible and efficient calling experiences (1:1 and group),Provide easy access to group calling
Allow users to add custom test cases to a coding problem.,Write solutions to coding problems
Deliver personalized news notifications based on reading behavior and interests while prioritizing important updates to reduce notification overload.,Reduce the volume of notifications so users are not spammed and can still notice important updates
"Enjoy an effective, personalized media consumption experience",Watch educational content about specific topics
Guide a user through the steps shown on their screen to achieve a desired outcome efficiently,Provide guidance that helps someone understand a topic without a steep learning curve
Monitor available opportunities and information in the job market and professional community,Search for job opportunities
Read books and articles digitally,Store books and course materials in a personal online library.
Pause video playback on demand,View a video in full-screen layout
Use a music streaming service to listen to music,Search the internet to find specific mixes that are unavailable in the primary music source.
Limit the number of times a person is shown advertisements for the same product,Provide a secure and trustworthy platform experience
Return later to complete follow-up tasks associated with messages,Tag emails or messages that require follow-up later
Customize a system by editing a configuration file,Enable tools to be declared in a configuration file
See the available options,View other people’s reviews to evaluate and trust places
Allow viewers to choose videos to watch from available options,Discover video content relevant to the viewer’s interests or intent
Improve flight search effectiveness to get the best results quickly,Adjust departure and arrival times to fit a desired time window
"Discover, install, and manage extensions/plugins effectively",Integrate an extension into an existing system
"Retrieve additional weather details for a selected hour (e.g., humidity, UV index, feels-like temperature).",Prevent location information from being stored remotely while authenticated
Manage video discovery and selection,Decide how much time to spend on a course based on grade information
View public discussion forums,Modify code to complete coursework requirements
Monitor the production environment to detect errors,Customize indentation settings per programming language
Plan and choose an appropriate transportation option for the trip,"Decide whether to take a ride based on travel time, price, driving preference or ability, and available alternative transportation options"
Enable consuming content through audio without needing to watch visual cues,Play media in the background
Find a desired place to live when relocating to a new neighborhood or country,Get recommendations from local residents about places to live
Manage money transfers end-to-end,"View transfer activity, including scheduled transfers"
"Support creating and sharing community content (posts, experiences, and information)",Share personal experiences so others can draw insights
"Edit text-based files on servers using a basic, non-graphical text editor.",Open and use a text editor through a command-line interface on a remote server or in terminal-only environments
Discover relevant job opportunities,Search for job postings by keyword
Select a store or location filter before shopping or adding items,Group items into separate checkout lists based on where they are available and allow users to review those groups
Consume media flexibly across contexts and constraints,"Watch videos at home while multitasking (e.g., cooking)."
Support creators and maintain a healthy creator ecosystem,Provide creator-focused tools and features that encourage creators to remain on the platform
"Maintain user trust via privacy, reliability, and experience stability",View a video in full-screen layout
Provide easy access to group calling,Access calling features more easily
Save web-based tutorial or programming education articles into a programming category,Read news without needing to create multiple accounts
Allow users to hide an article from the feed,Use a web-based application to answer questions
Receive alerts about severe or extreme weather affecting a specified city,Decide whether to seek shelter and stay indoors based on warning information
"Complete an end-to-end purchase workflow (discover items, choose seller, order, pay, and receive items)",Contact a seller to inquire about or purchase an item
"Use a terminal-first, portable development environment",Save the current workspace or session state so it can be resumed after a shutdown
Provide context for code changes to support peer review,Review proposed code changes to ensure they meet quality standards before merging
Enable local marketplace discovery and purchasing,View content and location/activity updates from followed people
Find and access people and conversations easily,Search for people by name
Search chat history for images using a typed keyword,Retain data and ensure continuity across devices while reducing local storage use
Review how other people solve issues,Allow customization of the user interface appearance.
Receive multiple show options to choose from based on viewing preferences,Notify the user about watchlist items that will become unavailable about one month in advance.
View monitoring and logging information,Open files quickly
"Switch between already-open files quickly, including via keyboard shortcuts",Develop software effectively in terminal and portable environments
Access and view all features without logging in,Preserve user privacy and reduce friction during provider outreach
"Request that other users review, add, or like a playlist",Create a playlist for other users to view
Expand reach to non-English speakers,"Ensure content safety, compliance, and quality standards"
Link a project board to a code repository,Automatically update an issue tracking board when a pull request is merged
Manage money transfers and payments across channels,Send a notification after each transaction
Take a bus along a planned route for commuting to work,Alert the driver to changes during a multi-stop.
Get assistance reading emails,Identify and highlight important messages and critical instructions or disclaimers within messages
Automate and unify the build-test-deploy pipeline,Provide in-context guidance for using new tools without external documentation
Optimize search queries and results relevance for finding potential connections.,Adjust search keywords to surface more relevant people in search results
Display job openings that match selected personal filters and criteria,"Filter job listings by role, company, and location"
Link a pull request to an issue or work item,"Provide discovery and learning resources for code, users, and automation"
"Decide whether to proceed with, change, or cancel a trip based on forecast conditions",Update and review forecasts closer to departure for improved accuracy
Shop for groceries efficiently across online and in-store channels,Enable users to add forgotten items to an existing grocery order without visiting the physical store
Enable media playback tailored to user context,Stream audio and video content across platforms
Provide a monetization model that balances revenue and user experience,Host live sessions with creators that include Q&A
Support day-to-day weather checking and planning.,Check very local weather conditions for hiking trails or mountain climbing routes.
Provide a backup code after account creation for use in two-factor authentication.,Store backup and access information securely for future use.
Provide a social feed and community experience,Browse a home feed of posts
Receive alerts about extreme weather conditions,Postpone events when extreme weather conditions are expected
Assess which assets are performing well or poorly,View portfolio holdings
Run measurable marketing to generate business outcomes,Reduce the staffing required to run marketing activities
Watch videos in any order,Watch a diverse range of content
Use an editor that provides color visualization for front-end work,Monitor the production environment to detect errors
Support background and multitasking-friendly media consumption,Allow users to scroll to find and resume a previously unfinished video
Avoid switching back and forth between web pages,Browse news while walking a dog
Provide predefined test cases for each coding problem.,Execute code against test cases and present the results.
Play media in the background,Enable consuming content through audio without needing to watch visual cues
"Provide cross-source transparency and analysis so users can understand provenance, differences, and credibility of news coverage.",Continue to see breaking news alerts for selected topics or events even when other related content is hidden.
Streamline and support provider outreach from discovery to response,"Enable fast, clear communication with property owners"
Connect with other people,View content and location/activity updates from followed people
Manage watchlist and availability risk,Help the user avoid having to pay to watch items elsewhere after they become unavailable.
View detailed feedback and related queries for an assignment,View the assignment query
Solve problems in an interactive coding environment with testing and submission.,Provide predefined test cases for each coding problem.
Protect user privacy and secure location data.,View significant weather events occurring in a specified location
Interact with an AI assistant through typed text,Improve understanding of user questions
"Use reward points, miles, or vouchers to book flights",Navigate to the selected provider’s itinerary booking page
"Manage a unified news feed lifecycle (load, filter, deduplicate, state, and stable navigation)",Mark items as read after viewing
Share photos and videos instantly with friends,Provide a social feed and community experience
Use AI assistance to improve comprehension and productivity in email/message workflows,Send messages
Solve a problem,Retrieve accurate answers to user queries quickly
Provide actionable severe-weather awareness and response support.,Adjust daily plans based on the severity and details of weather warnings
Manage notifications and attention,Disable do-not-disturb mode.
Maintain code quality and stability in the primary codebase,Modify code to complete coursework requirements
Complete post-trip ride tasks (payment follow-up and feedback),Tip the driver after a ride
Synthesize information to understand what is happening.,Display the most important details from each article
Search for short-form videos effectively,Compose a message with minimal user input
Source and recruit candidates for open roles,Discover and evaluate professionals on the platform
Search for hotel options,Verify remaining lounge visit allowances for limited-access cards within a given time period
Take legal action when personal data is misused or leaked,Understand and manage how personal data is used and protected
Provide payment details to complete the subscription purchase,Ensure safe and compliant content access and distribution
Create posts within communities,Tag posts to improve content discoverability
Display detailed and accurate weather conditions that match real-world observations and remain consistent across sources.,Retrieve weather information for a specified location.
"Search flights using flexible origin and destination areas, including nearby airports.",Take vacation flights
"Streamline the end-to-end workflow to acquire, store, and read materials on a tablet",Avoid a cumbersome online reading experience
"Review daily news updates across key topics, including finance and politics.",Stay up to date on business news
Build and leverage a professional network,Find and connect with people in a person's network
Provide reliable and flexible real-time calling,Enable users to make voice calls with friends
Participate in a follow-up interview to provide additional details.,Determine when an article was originally published and when it was received
View detailed feedback and a per-section grading breakdown for a graded assignment,See which part of an assignment each piece of feedback refers to
Retain data and ensure continuity across devices while reducing local storage use,Transfer all messages to a new phone when switching devices
Browse job postings,View posts within a group after joining the group
Support users in planning and decision-making using weather forecasts.,View weather forecasts across different time ranges such as weekend and monthly
Manage job discovery and evaluation workflow in one place,Save or record job postings and their identifiers for later review or application
Support an end-to-end development pipeline workflow from code to production,Execute automated tests
Use a primary authoritative source to maintain accurate global lounge-access information,Check an airport lounge's operating hours for a specific airport and terminal and stopover time
Change application settings,Enable or disable captions
Prevent extremely long advertisements from playing automatically,Open a video viewing platform on a phone
Provide market awareness through monitoring and summaries,View a detailed list of items with price increases or decreases
Decide how much time to spend on a course based on grade information,View grades
Prevent user-generated posts from disappearing unless the user deletes or archives them.,Reduce the frequency of service outages.
Manage notifications to be timely and not overwhelming,"Receive more frequent (e.g., hourly) weather updates during extreme or unfavorable conditions."
Search for and learn about general health topics,Interact with community discussions about approaches and solutions to coding problems
Read books and articles digitally,Support an integrated tablet reading experience with focus and progress aids
Finalize a travel itinerary,Monitor travel prices over time to identify favorable deals
Receive scheduled weather update notifications multiple times per day.,Receive weekly weather updates.
Take vacation flights,Book flights for travel
Share a screenshot of below-freezing weather information on social media.,View weather information without advertisements
Enable save-and-revisit workflows for later review and reference,Retain technical details from articles for future use
Find specific items to purchase,Obtain a phone number to use for making a payment
Confirm booking details and submit final payment to complete the booking,Verify requirements
Enable broadcast and announcements to campus audiences,Provide updates about activities and events across campus
Conduct effective outreach and relationship-building with potential referrers.,Send a connection request to a selected person with an introductory message stating the purpose and asking for a referral
Personalized discovery and delivery of relevant information,Receive continuous updates of the latest information tailored to personal preferences
Manage grocery lists and recurring purchasing,Restock regularly purchased grocery items on a monthly basis.
Use trusted services to handle personal data,Protect privacy and minimize tracking during flight research and booking
"Discover items and sellers using search, browsing, local exploration, and social inspiration",Browse through many images to see what is available and discover products to choose
Zoom in on a user-selected location,"When filtering by pet policy, include listings with unspecified pet policy unless the user requires pet allowance"
Prompt users with periodic open-ended questions to gather preferences.,Support creators and maintain a healthy creator ecosystem
"Compose effective, personalized referral request messages.",Include shared affiliations such as university when messaging potential connections.
Evaluate and shortlist housing options effectively,Collect multiple options on a single page for review
Allow users to find a previously watched short video again,Revisit previously viewed content
Place stock orders by selecting a stock and providing required order parameters,Provide summaries via voice output
"Provide efficient, always-available conversational support",Retrieve and review prior conversation exchanges to revisit previous answers and reasoning
Enable publishing a video before the full file upload completes,Walk through application workflows
Use forecasted cloud coverage to decide whether to proceed with or cancel planned outdoor activities or travel.,Mark cities as favorites
Have a human review generated content for factual accuracy,Verify the factual accuracy of generated content.
Avoid a cumbersome online reading experience,Support a streamlined end-to-end reading workflow from discovery/assignment to reading on a tablet
"Explore and compare travel options across combinations of origins, destinations, and dates to identify preferred choices.",Reduce the time spent researching travel options before booking
Help the user avoid having to pay to watch items elsewhere after they become unavailable.,Recommend shows and movies based on viewing history and genre preferences
Consume streaming media content conveniently,Download videos in advance over a strong wireless network connection
Support informed day-to-day decisions using weather information,Receive real-time weather condition updates.
"Review deposits and withdrawals, including those made during the current month.",Reduce the risk of significant losses when starting to invest
Monitor travel prices over time to identify favorable deals,View aggregated travel search results in a single interface
Use an editor that is supported by an active community,Bind the open-file action to a keyboard shortcut
Filter search results to show long-form content longer than 20 minutes,Search for short videos using remembered details
Maximize the number of articles that can be accessed,"Browse a unified feed of news from multiple sources, filterable by category"
Protect user privacy and control visibility while using marketplace and social features,Allow users to access the platform without signing in
Manage debit card and overdraft features,Make in-store purchases using a digital payment method
"Access clearly explained solutions to coding problems with walkthroughs, examples, and algorithm details",Discuss coding problems with other people
Enable music discovery and personalization,Listen to new songs
Send messages,Communicate with friends
Book a flight and lodging for a trip,Find flights at good prices
"Support accessible, usable playback experience",Adjust color settings to support colorblind viewers
Make payments for purchases,Link a credit or debit card to a digital payment system
View job details,Understand how one would contribute to a team or company
Support continuous background listening experiences,Listen to songs similar to a selected song
Compose and send messages effectively and safely,Schedule messages to be sent at specified times
Advance to the next part of the interview,Feel that life is continuing and setbacks are not catastrophic
Analyze user comments to predict whether a video will improve over time,Watch shorter content that fits a limited attention span
Mark unwanted or viewed news items as read or hidden,"Track whether each article is unread, viewed, or marked as read without being opened"
Apply synchronized personal configuration settings on any device,View monitoring and logging information
Transfer small amounts of money instantly to another person using their phone number,Monitor and understand personal finances and account activity
Trade cryptocurrencies using an easy-to-use exchange interface,Execute trades quickly and with minimal effort
Select which plugins to install,Manage multiple files
Maintain and present a professional profile,Edit sections of a personal profile
Discover and shortlist suitable referral candidates.,Enable searching across as many potential connections as possible.
Prevent personal data from being exposed to other people outside the platform,Keep job applications and targeted roles private from others
Transfer money to a merchant,Search chat history for images using a typed keyword
Browse news and information,Get information about major international events
Evaluate the current situation to inform an approach,Access an interface to view system status and manage infrastructure
Save an item for later without creating a new collection.,"Browse a unified feed of news from multiple sources, filterable by category"
Share daily activity updates with friends,"Provide privacy, security, and trustworthiness"
"Provide accurate, consistent performance results for the same code over time","Support focused, personalized practice planning."
"Maintain a unified, searchable personal reading library",Enable cross-platform access to reading materials (tablet-first)
Choose notification delivery channels,Maintain an up-to-date professional profile
Provide alternative recommendations for what to listen to,Receive recommended playlists based on listening behavior and similarity to other listeners with comparable preferences
Retrieve a referenced question.,Estimate a recommended time to solve each question.
Play media in the background,"Listen to audio content such as music, podcasts, streams, or audiobooks"
Provide product discovery and decision support,Use a shopping website to find grocery items quickly without unnecessary browsing
Match job roles to an individual's interests and skill set,Identify whether each job posting specifies a required skill set.
Complete provider outreach end-to-end with guidance and fallback handling,"Research the person, organization, or place when outreach attempts receive no response"
"Discover and select content efficiently (search, browse, recommendations)",Ensure the subscription provides good value for its cost
Browse a list of posts to locate specific posts,Filter posts to narrow results and retain useful posts
Display the number of available units,Discover places using a digital platform
Enable content creators to broadcast content to viewers,Enable creators to publish and manage video content
Complete booking via provider handoff,Search for flights between multiple popular origin airports in the US and multiple popular destination airports in India.
Retrieve weather forecasts for a travel destination in advance,Estimate expected weather conditions during the travel dates
Prevent applying to job openings that are no longer current,Access an up-to-date list of relevant job opportunities
Minimize the time spent navigating between different online portals to apply for jobs,Streamline the job application workflow end-to-end (from interest to submission and status tracking)
Build and maintain a professional network,Schedule a social media post for a later time to maximize impressions
Determine whether travel times align with other transportation schedules,Use features without creating or setting up an account
"Enable personalized, efficient news consumption",Adjust displayed content over time based on a user’s past choices and behavior
Manage debit card and overdraft features,Categorize spending into expense categories
Find suitable travel itineraries,Prevent personal data from being shared with additional parties
Help users create grocery lists without forgetting items,View item quantity
Add a title to a post,Enable live chat within conversation communities
Provide reliable and accessible weather information experience,Block advertisements from being displayed
Start a shared listening session with other people,Listen to songs from curated or favorited playlists
Merge approved code changes into the main codebase,Automatically update an issue tracking board when a pull request is merged
"Support continuous, low-effort background listening",Identify the best available version of a song
Communicate with friends in real time,Request that an interviewer repeat a question
Discover places to live,Access and view all features without logging in
Learn effective techniques for completing the task,Provide guidance that helps someone understand a topic without a steep learning curve
Attach documents to questions to provide additional context,"Provide efficient, always-available conversational support"
Plan what to wear for a particular day based on the weather forecast,Recommend what to carry for the day based on the weather forecast
Know what is happening in the local area,Learn about news and events happening in a different location
"Sort available itineraries by user-selected criteria such as best overall, lowest price, or shortest travel time",Compare options to identify the lowest available prices and best-value deals.
Become the leading platform for users and creators,Expand reach to non-English speakers
"Send messages to professors via direct messaging, shared channels, or email",Retrieve a link for submitting an assignment
Support low-friction discovery and selection of videos,Search for long-form content to watch
"Conduct outreach with clarity, privacy, and low friction",Follow clear and predictable steps throughout the outreach process
Find news articles that match personal interests or current work,Read news about political developments that may have personal impact
Automate and manage the development pipeline end-to-end,Execute automated tests
Add sound effects to video content,Support creators in publishing and broadcasting content
Provide creators with analytics and insights to improve their podcasts.,Minimize user interactions required to access and start audio content playback.
Browse news and information,Discover relevant content efficiently
Verify that the live production web page is functioning correctly,Spark interest in a topic
Provide more detailed information about work experience and education,Allow applicants to customize application details for specific job roles.
Prevent anyone other than the account owner from accessing the account.,Stay informed about global events and trends
Support topic-based communities and Q&A discussions.,Detect and filter inauthentic content
Receive scheduled weather update notifications multiple times per day.,Limit notifications to three times per day
Communicate with people through a platform that lacks built-in communication features,Support community participation and discovery
Deploy code through a command-line interface,Search for a text string across all files in a project
Support a unified school reading workflow on tablets,Import course content to a tablet with fewer steps
Learn to use a complex tool effectively,Make someone feel happy
"Collect and consider user feedback, ratings, and reviews",Provide subscription benefits that increase revenue and user value
"Support accessible, usable playback experience",Explain the function of on-screen icons and buttons to unfamiliar users
Provide secure account and session management,Provide effective content discovery and navigation
"Search flights using flexible origin and destination areas, including nearby airports.",Remind the traveler to book when monitored flight prices become too high
Continue to see breaking news alerts for selected topics or events even when other related content is hidden.,Receive timely news updates about events within a couple of days of when they happen.
Enable secure and compliant access to trading features,Monitor stock price movements in real time
View account statements,Receive guidance on advanced algorithms
Determine the source of the weather data.,Protect users' location privacy and data security.
Consume streaming media content conveniently,Watch videos in the background
Manage the frequency of job alert notifications,Share a post
Search for extensions,Open a specified project file for editing
Enable communication between people who prefer not to talk directly to each other,Send messages to other users
Obtain accurate AI assistant outputs for most tasks,Detect and correct hallucinations in model-generated outputs
Read recommended safety actions for responding to a typhoon,Check the severity and details of a typhoon alert
"Provide cross-device, reproducible personalization and setup",Install plugins via a configuration file and an install command
Obtain job referrals from relevant employees at a target company.,Discover and shortlist high-quality referral prospects.
Use the service without advertisements,Search the internet to find specific mixes that are unavailable in the primary music source.
